,timestamp,DemandRate,Stock,Modal,ProfitMargin,CompetitorPrice,FinalPrice
0,2024-01-01 00:00:00,6,357,26422,0.03,95246.66666666667,27214.66
1,2024-01-01 01:00:00,3,351,26422,0.03,95246.66666666667,27214.66
2,2024-01-01 02:00:00,7,311,26422,0.03,95246.66666666667,27214.66
3,2024-01-01 03:00:00,4,338,26422,0.03,95246.66666666667,27214.66
4,2024-01-01 04:00:00,6,301,26422,0.03,95246.66666666667,27214.66
5,2024-01-01 05:00:00,9,302,26422,0.03,95246.66666666667,27214.66
6,2024-01-01 06:00:00,22,400,26422,0.03,95246.66666666667,27214.66
7,2024-01-01 07:00:00,26,355,26422,0.03,95246.66666666667,27214.66
8,2024-01-01 08:00:00,30,380,26422,0.03,95246.66666666667,27214.66
9,2024-01-01 09:00:00,30,358,26422,0.03,95246.66666666667,27214.66
10,2024-01-01 10:00:00,7,301,26422,0.03,95246.66666666667,27214.66
11,2024-01-01 11:00:00,4,301,26422,0.03,95246.66666666667,27214.66
12,2024-01-01 12:00:00,3,391,26422,0.03,95246.66666666667,27214.66
13,2024-01-01 13:00:00,7,353,26422,0.03,95246.66666666667,27214.66
14,2024-01-01 14:00:00,22,386,26422,0.03,95246.66666666667,27214.66
15,2024-01-01 15:00:00,17,400,26422,0.03,95246.66666666667,27214.66
16,2024-01-01 16:00:00,20,395,26422,0.03,95246.66666666667,27214.66
17,2024-01-01 17:00:00,4,396,26422,0.03,95246.66666666667,27214.66
18,2024-01-01 18:00:00,11,300,26422,0.03,95246.66666666667,27214.66
19,2024-01-01 19:00:00,17,318,26422,0.03,95246.66666666667,27214.66
20,2024-01-01 20:00:00,15,301,26422,0.03,95246.66666666667,27214.66
21,2024-01-01 21:00:00,1,352,26422,0.03,95246.66666666667,27214.66
22,2024-01-01 22:00:00,4,343,26422,0.03,95246.66666666667,27214.66
23,2024-01-01 23:00:00,0,389,26422,0.03,95246.66666666667,27214.66
24,2024-01-02 00:00:00,9,331,26422,0.03,95246.66666666667,27214.66
25,2024-01-02 01:00:00,5,369,26422,0.03,95246.66666666667,27214.66
26,2024-01-02 02:00:00,8,331,26422,0.03,95246.66666666667,27214.66
27,2024-01-02 03:00:00,0,367,26422,0.03,95246.66666666667,27214.66
28,2024-01-02 04:00:00,9,354,26422,0.03,95246.66666666667,27214.66
29,2024-01-02 05:00:00,2,374,26422,0.03,95246.66666666667,27214.66
30,2024-01-02 06:00:00,26,355,26422,0.03,95246.66666666667,27214.66
31,2024-01-02 07:00:00,23,316,26422,0.03,95246.66666666667,27214.66
32,2024-01-02 08:00:00,28,337,26422,0.03,95246.66666666667,27214.66
33,2024-01-02 09:00:00,22,323,26422,0.03,95246.66666666667,27214.66
34,2024-01-02 10:00:00,4,368,26422,0.03,95246.66666666667,27214.66
35,2024-01-02 11:00:00,2,397,26422,0.03,95246.66666666667,27214.66
36,2024-01-02 12:00:00,6,369,26422,0.03,95246.66666666667,27214.66
37,2024-01-02 13:00:00,4,385,26422,0.03,95246.66666666667,27214.66
38,2024-01-02 14:00:00,23,310,26422,0.03,95246.66666666667,27214.66
39,2024-01-02 15:00:00,21,315,26422,0.03,95246.66666666667,27214.66
40,2024-01-02 16:00:00,16,396,26422,0.03,95246.66666666667,27214.66
41,2024-01-02 17:00:00,3,372,26422,0.03,95246.66666666667,27214.66
42,2024-01-02 18:00:00,18,358,26422,0.03,95246.66666666667,27214.66
43,2024-01-02 19:00:00,11,369,26422,0.03,95246.66666666667,27214.66
44,2024-01-02 20:00:00,19,379,26422,0.03,95246.66666666667,27214.66
45,2024-01-02 21:00:00,8,392,26422,0.03,95246.66666666667,27214.66
46,2024-01-02 22:00:00,9,302,26422,0.03,95246.66666666667,27214.66
47,2024-01-02 23:00:00,4,319,26422,0.03,95246.66666666667,27214.66
48,2024-01-03 00:00:00,1,358,26422,0.03,95246.66666666667,27214.66
49,2024-01-03 01:00:00,3,335,26422,0.03,95246.66666666667,27214.66
50,2024-01-03 02:00:00,6,318,26422,0.03,95246.66666666667,27214.66
51,2024-01-03 03:00:00,7,389,26422,0.03,95246.66666666667,27214.66
52,2024-01-03 04:00:00,2,366,26422,0.03,95246.66666666667,27214.66
53,2024-01-03 05:00:00,0,318,26422,0.03,95246.66666666667,27214.66
54,2024-01-03 06:00:00,23,319,26422,0.03,95246.66666666667,27214.66
55,2024-01-03 07:00:00,21,395,26422,0.03,95246.66666666667,27214.66
56,2024-01-03 08:00:00,27,370,26422,0.03,95246.66666666667,27214.66
57,2024-01-03 09:00:00,23,351,26422,0.03,95246.66666666667,27214.66
58,2024-01-03 10:00:00,1,332,26422,0.03,95246.66666666667,27214.66
59,2024-01-03 11:00:00,5,339,26422,0.03,95246.66666666667,27214.66
60,2024-01-03 12:00:00,5,338,26422,0.03,95246.66666666667,27214.66
61,2024-01-03 13:00:00,9,381,26422,0.03,95246.66666666667,27214.66
62,2024-01-03 14:00:00,18,300,26422,0.03,95246.66666666667,27214.66
63,2024-01-03 15:00:00,20,310,26422,0.03,95246.66666666667,27214.66
64,2024-01-03 16:00:00,16,391,26422,0.03,95246.66666666667,27214.66
65,2024-01-03 17:00:00,9,356,26422,0.03,95246.66666666667,27214.66
66,2024-01-03 18:00:00,11,388,26422,0.03,95246.66666666667,27214.66
67,2024-01-03 19:00:00,19,349,26422,0.03,95246.66666666667,27214.66
68,2024-01-03 20:00:00,13,322,26422,0.03,95246.66666666667,27214.66
69,2024-01-03 21:00:00,7,330,26422,0.03,95246.66666666667,27214.66
70,2024-01-03 22:00:00,6,393,26422,0.03,95246.66666666667,27214.66
71,2024-01-03 23:00:00,8,341,26422,0.03,95246.66666666667,27214.66
72,2024-01-04 00:00:00,7,398,26422,0.03,95246.66666666667,27214.66
73,2024-01-04 01:00:00,4,306,26422,0.03,95246.66666666667,27214.66
74,2024-01-04 02:00:00,1,315,26422,0.03,95246.66666666667,27214.66
75,2024-01-04 03:00:00,4,389,26422,0.03,95246.66666666667,27214.66
76,2024-01-04 04:00:00,7,359,26422,0.03,95246.66666666667,27214.66
77,2024-01-04 05:00:00,9,301,26422,0.03,95246.66666666667,27214.66
78,2024-01-04 06:00:00,28,300,26422,0.03,95246.66666666667,27214.66
79,2024-01-04 07:00:00,28,347,26422,0.03,95246.66666666667,27214.66
80,2024-01-04 08:00:00,20,311,26422,0.03,95246.66666666667,27214.66
